24 116 140 120
wall wall01 29,21,97,3 solid
wall wall02 29,21,3,89 solid
wall wall03 123,21,3,89 solid
wall wall04 29,107,76,3 solid
wall wall05 114,107,12,3 solid
wall wall06 32,39,15,2 solid
wall wall07 32,56,15,2 solid
wall wall08 32,73,15,2 solid
wall wall09 32,90,15,2 solid
wall wall10 47.24.2.2 solid
wall wall11 47,30,2,13 solid
wall wall12 47,47,2,13 solid
wall wall13 47,64,2,13 solid
wall wall14 47,81,2,13 solid
wall wall15 47,98,2,9 solid
wall wall16 71,24,2,4 solid
wall wall17 71,33,2,65 solid
wall wall18 71,103,2,4 solid
wall wall19 78,24,2,28 solid
wall wall20 80,50,2,2 solid
wall wall21 86,50,37,2 solid
wall wall22 78,57,45,2 solid
wall wall23 78,57,2,30 solid
wall wall24 80,85,2,2 solid
wall wall25 86,85,37,2 solid
